x;name;pclass;sex;age;survived;SexCode
64;Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood);1;female;47;1;1
65;Chambers, Mr. Norman Campbell;1;male;27;1;0
66;Chambers, Mrs. Norman Campbell (Bertha Griggs);1;female;33;1;1
67;Chaudanson, Miss. Victorine;1;female;36;1;1
68;Cherry, Miss. Gladys;1;female;30;1;1
69;Chevre, Mr. Paul Romaine;1;male;45;1;0
70;Chibnall, Mrs. (Edith Martha Bowerman);1;female;;1;1
71;Chisholm, Mr. Roderick Robert Crispin;1;male;;0;0
72;Clark, Mr. Walter Miller;1;male;27;0;0
73;Clark, Mrs. Walter Miller (Virginia McDowell);1;female;26;1;1
74;Cleaver, Miss. Alice;1;female;22;1;1
75;Clifford, Mr. George Quincy;1;male;;0;0
76;Colley, Mr. Edward Pomeroy;1;male;47;0;0
77;Compton, Miss. Sara Rebecca;1;female;39;1;1
78;Compton, Mr. Alexander Taylor Jr;1;male;37;0;0
79;Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll);1;female;64;1;1
80;Cornell, Mrs. Robert Clifford (Malvina Helen Lamson);1;female;55;1;1
81;Crafton, Mr. John Bertram;1;male;;0;0
82;Crosby, Capt. Edward Gifford;1;male;70;0;0
83;Crosby, Miss. Harriet R;1;female;36;1;1
84;Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead);1;female;64;1;1
85;Cumings, Mr. John Bradley;1;male;39;0;0
86;Cumings, Mrs. John Bradley (Florence Briggs Thayer);1;female;38;1;1
87;Daly, Mr. Peter Denis ;1;male;51;1;0
88;Daniel, Mr. Robert Williams;1;male;27;1;0
89;Daniels, Miss. Sarah;1;female;33;1;1
90;Davidson, Mr. Thornton;1;male;31;0;0
91;Davidson, Mrs. Thornton (Orian Hays);1;female;27;1;1
92;Dick, Mr. Albert Adrian;1;male;31;1;0
93;Dick, Mrs. Albert Adrian (Vera Gillespie);1;female;17;1;1
94;Dodge, Dr. Washington;1;male;53;1;0
95;Dodge, Master. Washington;1;male;4;1;0
96;Dodge, Mrs. Washington (Ruth Vidaver);1;female;54;1;1
97;Douglas, Mr. Walter Donald;1;male;50;0;0
98;Douglas, Mrs. Frederick Charles (Mary Helene Baxter);1;female;27;1;1
99;Douglas, Mrs. Walter Donald (Mahala Dutton);1;female;48;1;1
100;"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")";1;female;48;1;1
101;"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")";1;male;49;1;0
102;Dulles, Mr. William Crothers;1;male;39;0;0
103;Earnshaw, Mrs. Boulton (Olive Potter);1;female;23;1;1
104;Endres, Miss. Caroline Louise;1;female;38;1;1
105;Eustis, Miss. Elizabeth Mussey;1;female;54;1;1
106;Evans, Miss. Edith Corse;1;female;36;0;1
107;Farthing, Mr. John;1;male;;0;0
108;Flegenheim, Mrs. Alfred (Antoinette);1;female;;1;1
109;Fleming, Miss. Margaret;1;female;;1;1
110;"Flynn, Mr. John Irwin (""Irving"")";1;male;36;1;0
111;Foreman, Mr. Benjamin Laventall;1;male;30;0;0
112;Fortune, Miss. Alice Elizabeth;1;female;24;1;1
113;Fortune, Miss. Ethel Flora;1;female;28;1;1
114;Fortune, Miss. Mabel Helen;1;female;23;1;1
115;Fortune, Mr. Charles Alexander;1;male;19;0;0
116;Fortune, Mr. Mark;1;male;64;0;0
117;Fortune, Mrs. Mark (Mary McDougald);1;female;60;1;1
118;Francatelli, Miss. Laura Mabel;1;female;30;1;1
119;Franklin, Mr. Thomas Parham;1;male;;0;0
120;Frauenthal, Dr. Henry William;1;male;50;1;0
121;Frauenthal, Mr. Isaac Gerald;1;male;43;1;0
122;Frauenthal, Mrs. Henry William (Clara Heinsheimer);1;female;;1;1
123;Frolicher, Miss. Hedwig Margaritha;1;female;22;1;1
124;Frolicher-Stehli, Mr. Maxmillian;1;male;60;1;0
125;Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli);1;female;48;1;1
126;Fry, Mr. Richard;1;male;;0;0
127;Futrelle, Mr. Jacques Heath;1;male;37;0;0
128;Futrelle, Mrs. Jacques Heath (Lily May Peel);1;female;35;1;1
129;Gee, Mr. Arthur H;1;male;47;0;0
130;Geiger, Miss. Amalie;1;female;35;1;1
131;Gibson, Miss. Dorothy Winifred;1;female;22;1;1
132;Gibson, Mrs. Leonard (Pauline C Boeson);1;female;45;1;1
133;Giglio, Mr. Victor;1;male;24;0;0
134;Goldenberg, Mr. Samuel L;1;male;49;1;0
135;Goldenberg, Mrs. Samuel L (Edwiga Grabowska);1;female;;1;1
136;Goldschmidt, Mr. George B;1;male;71;0;0
137;Gracie, Col. Archibald IV;1;male;53;1;0
138;Graham, Miss. Margaret Edith;1;female;19;1;1
139;Graham, Mr. George Edward;1;male;38;0;0
140;Graham, Mrs. William Thompson (Edith Junkins);1;female;58;1;1
141;Greenfield, Mr. William Bertram;1;male;23;1;0
142;Greenfield, Mrs. Leo David (Blanche Strouse);1;female;45;1;1
143;Guggenheim, Mr. Benjamin;1;male;46;0;0
144;Harder, Mr. George Achilles;1;male;25;1;0
145;Harder, Mrs. George Achilles (Dorothy Annan);1;female;25;1;1
146;Harper, Mr. Henry Sleeper;1;male;48;1;0
147;Harper, Mrs. Henry Sleeper (Myna Haxtun);1;female;49;1;1
148;Harrington, Mr. Charles H;1;male;;0;0
149;Harris, Mr. Henry Birkhardt;1;male;45;0;0
150;Harris, Mrs. Henry Birkhardt (Irene Wallach);1;female;35;1;1
151;Harrison, Mr. William;1;male;40;0;0
152;Hassab, Mr. Hammad;1;male;27;1;0
153;Hawksford, Mr. Walter James;1;male;;1;0
154;Hays, Miss. Margaret Bechstein;1;female;24;1;1
155;Hays, Mr. Charles Melville;1;male;55;0;0
156;Hays, Mrs. Charles Melville (Clara Jennings Gregg);1;female;52;1;1
157;Head, Mr. Christopher;1;male;42;0;0
158;Hilliard, Mr. Herbert Henry;1;male;;0;0
159;Hipkins, Mr. William Edward;1;male;55;0;0
160;Hippach, Miss. Jean Gertrude;1;female;16;1;1
161;Hippach, Mrs. Louis Albert (Ida Sophia Fischer);1;female;44;1;1
162;Hogeboom, Mrs. John C (Anna Andrews);1;female;51;1;1
163;Holverson, Mr. Alexander Oskar;1;male;42;0;0
164;Holverson, Mrs. Alexander Oskar (Mary Aline Towner);1;female;35;1;1
165;"Homer, Mr. Harry (""Mr E Haven"")";1;male;35;1;0
166;Hoyt, Mr. Frederick Maxfield;1;male;38;1;0
167;Hoyt, Mr. William Fisher;1;male;;0;0
168;Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);1;female;35;1;1
169;Icard, Miss. Amelie;1;female;38;1;1
170;Isham, Miss. Ann Elizabeth;1;female;50;0;1
171;Ismay, Mr. Joseph Bruce;1;male;49;1;0
172;Jones, Mr. Charles Cresson;1;male;46;0;0
173;Julian, Mr. Henry Forbes;1;male;50;0;0
174;Keeping, Mr. Edwin;1;male;32.5;0;0
175;Kent, Mr. Edward Austin;1;male;58;0;0
176;Kenyon, Mr. Frederick R;1;male;41;0;0
177;Kenyon, Mrs. Frederick R (Marion);1;female;;1;1
178;Kimball, Mr. Edwin Nelson Jr;1;male;42;1;0
179;Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons);1;female;45;1;1
180;Klaber, Mr. Herman;1;male;;0;0
181;Kreuchen, Miss. Emilie;1;female;39;1;1
182;Leader, Dr. Alice (Farnham);1;female;49;1;1
183;LeRoy, Miss. Bertha;1;female;30;1;1
184;Lesurer, Mr. Gustave J;1;male;35;1;0
185;Lewy, Mr. Ervin G;1;male;;0;0
186;"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")";1;male;42;0;0
187;Lindstrom, Mrs. Carl Johan (Sigrid Posse);1;female;55;1;1
188;Lines, Miss. Mary Conover;1;female;16;1;1
189;Lines, Mrs. Ernest H (Elizabeth Lindsey James);1;female;51;1;1
190;Long, Mr. Milton Clyde;1;male;29;0;0
191;Longley, Miss. Gretchen Fiske;1;female;21;1;1
192;Loring, Mr. Joseph Holland;1;male;30;0;0
193;Lurette, Miss. Elise;1;female;58;1;1
194;Madill, Miss. Georgette Alexandra;1;female;15;1;1
195;Maguire, Mr. John Edward;1;male;30;0;0
196;Maioni, Miss. Roberta;1;female;16;1;1
197;Marechal, Mr. Pierre;1;male;;1;0
198;Marvin, Mr. Daniel Warner;1;male;19;0;0
199;Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson);1;female;18;1;1
200;"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")";1;female;24;1;1
201;McCaffry, Mr. Thomas Francis;1;male;46;0;0
202;McCarthy, Mr. Timothy J;1;male;54;0;0
203;McGough, Mr. James Robert;1;male;36;1;0
204;Meyer, Mr. Edgar Joseph;1;male;28;0;0
205;Meyer, Mrs. Edgar Joseph (Leila Saks);1;female;;1;1
206;Millet, Mr. Francis Davis;1;male;65;0;0
207;Minahan, Dr. William Edward;1;male;44;0;0
208;Minahan, Miss. Daisy E;1;female;33;1;1
209;Minahan, Mrs. William Edward (Lillian E Thorpe);1;female;37;1;1
210;Mock, Mr. Philipp Edmund;1;male;30;1;0
211;Molson, Mr. Harry Markland;1;male;55;0;0
212;Moore, Mr. Clarence Bloomfield;1;male;47;0;0
213;Natsch, Mr. Charles H;1;male;37;0;0
214;Newell, Miss. Madeleine;1;female;31;1;1
215;Newell, Miss. Marjorie;1;female;23;1;1
216;Newell, Mr. Arthur Webster;1;male;58;0;0
217;Newsom, Miss. Helen Monypeny;1;female;19;1;1
218;Nicholson, Mr. Arthur Ernest;1;male;64;0;0
219;Oliva y Ocana, Dona. Fermina;1;female;39;1;1
220;Omont, Mr. Alfred Fernand;1;male;;1;0
221;Ostby, Miss. Helene Ragnhild;1;female;22;1;1
222;Ostby, Mr. Engelhart Cornelius;1;male;65;0;0
223;Ovies y Rodriguez, Mr. Servando;1;male;28.5;0;0
224;Parr, Mr. William Henry Marsh;1;male;;0;0
225;Partner, Mr. Austen;1;male;45.5;0;0
226;Payne, Mr. Vivian Ponsonby;1;male;23;0;0
227;Pears, Mr. Thomas Clinton;1;male;29;0;0
228;Pears, Mrs. Thomas (Edith Wearne);1;female;22;1;1
229;Penasco y Castellana, Mr. Victor de Satode;1;male;18;0;0
230;Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo);1;female;17;1;1
231;Perreault, Miss. Anne;1;female;30;1;1
232;Peuchen, Major. Arthur Godfrey;1;male;52;1;0
233;Porter, Mr. Walter Chamberlain;1;male;47;0;0
234;Potter, Mrs. Thomas Jr (Lily Alexenia Wilson);1;female;56;1;1
235;Reuchlin, Jonkheer. John George;1;male;38;0;0
236;Rheims, Mr. George Alexander Lucien;1;male;;1;0
237;Ringhini, Mr. Sante;1;male;22;0;0
238;Robbins, Mr. Victor;1;male;;0;0
239;Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);1;female;43;1;1
240;Roebling, Mr. Washington Augustus II;1;male;31;0;0
241;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";1;male;45;1;0
242;Rood, Mr. Hugh Roscoe;1;male;;0;0
243;Rosenbaum, Miss. Edith Louise;1;female;33;1;1
244;"Rosenshine, Mr. George (""Mr George Thorne"")";1;male;46;0;0
245;Ross, Mr. John Hugo;1;male;36;0;0
246;Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards);1;female;33;1;1
247;Rothschild, Mr. Martin;1;male;55;0;0
248;Rothschild, Mrs. Martin (Elizabeth L. Barrett);1;female;54;1;1
249;Rowe, Mr. Alfred G;1;male;33;0;0
250;Ryerson, Master. John Borie;1;male;13;1;0
251;Ryerson, Miss. Emily Borie;1;female;18;1;1
252;"Ryerson, Miss. Susan Parker ""Suzette""";1;female;21;1;1
253;Ryerson, Mr. Arthur Larned;1;male;61;0;0
254;Ryerson, Mrs. Arthur Larned (Emily Maria Borie);1;female;48;1;1
255;Saalfeld, Mr. Adolphe;1;male;;1;0
256;Sagesser, Mlle. Emma;1;female;24;1;1
257;Salomon, Mr. Abraham L;1;male;;1;0
258;Schabert, Mrs. Paul (Emma Mock);1;female;35;1;1
259;Serepeca, Miss. Augusta;1;female;30;1;1
260;Seward, Mr. Frederic Kimber;1;male;34;1;0
261;Shutes, Miss. Elizabeth W;1;female;40;1;1
262;Silverthorne, Mr. Spencer Victor;1;male;35;1;0
263;Silvey, Mr. William Baird;1;male;50;0;0
264;Silvey, Mrs. William Baird (Alice Munger);1;female;39;1;1
265;Simonius-Blumer, Col. Oberst Alfons;1;male;56;1;0
266;Sloper, Mr. William Thompson;1;male;28;1;0
267;Smart, Mr. John Montgomery;1;male;56;0;0
268;Smith, Mr. James Clinch;1;male;56;0;0
269;Smith, Mr. Lucien Philip;1;male;24;0;0
270;Smith, Mr. Richard William;1;male;;0;0
271;Smith, Mrs. Lucien Philip (Mary Eloise Hughes);1;female;18;1;1
272;Snyder, Mr. John Pillsbury;1;male;24;1;0
273;Snyder, Mrs. John Pillsbury (Nelle Stevenson);1;female;23;1;1
274;Spedden, Master. Robert Douglas;1;male;6;1;0
275;Spedden, Mr. Frederic Oakley;1;male;45;1;0
276;Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone);1;female;40;1;1
277;Spencer, Mr. William Augustus;1;male;57;0;0
278;Spencer, Mrs. William Augustus (Marie Eugenie);1;female;;1;1
279;Stahelin-Maeglin, Dr. Max;1;male;32;1;0
280;Stead, Mr. William Thomas;1;male;62;0;0
281;Stengel, Mr. Charles Emil Henry;1;male;54;1;0
282;Stengel, Mrs. Charles Emil Henry (Annie May Morris);1;female;43;1;1
283;Stephenson, Mrs. Walter Bertram (Martha Eustis);1;female;52;1;1
284;Stewart, Mr. Albert A;1;male;;0;0
285;Stone, Mrs. George Nelson (Martha Evelyn);1;female;62;1;1
286;Straus, Mr. Isidor;1;male;67;0;0
287;Straus, Mrs. Isidor (Rosalie Ida Blun);1;female;63;0;1
288;Sutton, Mr. Frederick;1;male;61;0;0
289;Swift, Mrs. Frederick Joel (Margaret Welles Barron);1;female;48;1;1
290;Taussig, Miss. Ruth;1;female;18;1;1
291;Taussig, Mr. Emil;1;male;52;0;0
292;Taussig, Mrs. Emil (Tillie Mandelbaum);1;female;39;1;1
293;Taylor, Mr. Elmer Zebley;1;male;48;1;0
294;Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright);1;female;;1;1
295;Thayer, Mr. John Borland;1;male;49;0;0
296;Thayer, Mr. John Borland Jr;1;male;17;1;0
297;Thayer, Mrs. John Borland (Marian Longstreth Morris);1;female;39;1;1
298;Thorne, Mrs. Gertrude Maybelle;1;female;;1;1
299;Tucker, Mr. Gilbert Milligan Jr;1;male;31;1;0
300;Uruchurtu, Don. Manuel E;1;male;40;0;0
301;Van der hoef, Mr. Wyckoff;1;male;61;0;0
302;Walker, Mr. William Anderson;1;male;47;0;0
303;Ward, Miss. Anna;1;female;35;1;1
304;Warren, Mr. Frank Manley;1;male;64;0;0
305;Warren, Mrs. Frank Manley (Anna Sophia Atkinson);1;female;60;1;1
306;Weir, Col. John;1;male;60;0;0
307;White, Mr. Percival Wayland;1;male;54;0;0
308;White, Mr. Richard Frasar;1;male;21;0;0
309;White, Mrs. John Stuart (Ella Holmes);1;female;55;1;1
310;Wick, Miss. Mary Natalie;1;female;31;1;1
311;Wick, Mr. George Dennick;1;male;57;0;0
312;Wick, Mrs. George Dennick (Mary Hitchcock);1;female;45;1;1
313;Widener, Mr. George Dunton;1;male;50;0;0
314;Widener, Mr. Harry Elkins;1;male;27;0;0
315;Widener, Mrs. George Dunton (Eleanor Elkins);1;female;50;1;1
316;Willard, Miss. Constance;1;female;21;1;1
317;Williams, Mr. Charles Duane;1;male;51;0;0
318;Williams, Mr. Richard Norris II;1;male;21;1;0
319;Williams-Lambert, Mr. Fletcher Fellows;1;male;;0;0
320;Wilson, Miss. Helen Alice;1;female;31;1;1
321;Woolner, Mr. Hugh;1;male;;1;0
322;Wright, Mr. George;1;male;62;0;0
323;Young, Miss. Marie Grice;1;female;36;1;1
324;Abelson, Mr. Samuel;2;male;30;0;0
325;Abelson, Mrs. Samuel (Hannah Wizosky);2;female;28;1;1
326;Aldworth, Mr. Charles Augustus;2;male;30;0;0
327;Andrew, Mr. Edgardo Samuel;2;male;18;0;0
328;Andrew, Mr. Frank Thomas;2;male;25;0;0
329;Angle, Mr. William A;2;male;34;0;0
330;"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)";2;female;36;1;1
331;Ashby, Mr. John;2;male;57;0;0
332;Bailey, Mr. Percy Andrew;2;male;18;0;0
333;Baimbrigge, Mr. Charles Robert;2;male;23;0;0
334;Ball, Mrs. (Ada E Hall);2;female;36;1;1
335;Banfield, Mr. Frederick James;2;male;28;0;0
336;Bateman, Rev. Robert James;2;male;51;0;0
337;Beane, Mr. Edward;2;male;32;1;0
338;Beane, Mrs. Edward (Ethel Clarke);2;female;19;1;1
339;Beauchamp, Mr. Henry James;2;male;28;0;0
340;Becker, Master. Richard F;2;male;1;1;0
341;Becker, Miss. Marion Louise;2;female;4;1;1
342;Becker, Miss. Ruth Elizabeth;2;female;12;1;1
343;Becker, Mrs. Allen Oliver (Nellie E Baumgardner);2;female;36;1;1
344;Beesley, Mr. Lawrence;2;male;34;1;0
345;Bentham, Miss. Lilian W;2;female;19;1;1
346;Berriman, Mr. William John;2;male;23;0;0
347;Botsford, Mr. William Hull;2;male;26;0;0
348;Bowenur, Mr. Solomon;2;male;42;0;0
349;Bracken, Mr. James H;2;male;27;0;0
350;"Brown, Miss. Amelia ""Mildred""";2;female;24;1;1
351;Brown, Miss. Edith Eileen;2;female;15;1;1
352;Brown, Mr. Thomas William Solomon;2;male;60;0;0
353;Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford);2;female;40;1;1
354;Bryhl, Miss. Dagmar Jenny Ingeborg ;2;female;20;1;1
355;Bryhl, Mr. Kurt Arnold Gottfrid;2;male;25;0;0
356;Buss, Miss. Kate;2;female;36;1;1
357;Butler, Mr. Reginald Fenton;2;male;25;0;0
358;Byles, Rev. Thomas Roussel Davids;2;male;42;0;0
359;Bystrom, Mrs. (Karolina);2;female;42;1;1
360;Caldwell, Master. Alden Gates;2;male;0.8333;1;0
361;Caldwell, Mr. Albert Francis;2;male;26;1;0
362;Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh);2;female;22;1;1
363;Cameron, Miss. Clear Annie;2;female;35;1;1
364;Campbell, Mr. William;2;male;;0;0
365;Carbines, Mr. William;2;male;19;0;0
366;Carter, Mrs. Ernest Courtenay (Lilian Hughes);2;female;44;0;1
367;Carter, Rev. Ernest Courtenay;2;male;54;0;0
368;Chapman, Mr. Charles Henry;2;male;52;0;0
369;Chapman, Mr. John Henry;2;male;37;0;0
370;Chapman, Mrs. John Henry (Sara Elizabeth Lawry);2;female;29;0;1
371;Christy, Miss. Julie Rachel;2;female;25;1;1
372;Christy, Mrs. (Alice Frances);2;female;45;1;1
373;Clarke, Mr. Charles Valentine;2;male;29;0;0
374;Clarke, Mrs. Charles V (Ada Maria Winfield);2;female;28;1;1
375;Coleridge, Mr. Reginald Charles;2;male;29;0;0
376;Collander, Mr. Erik Gustaf;2;male;28;0;0
377;Collett, Mr. Sidney C Stuart;2;male;24;1;0
378;"Collyer, Miss. Marjorie ""Lottie""";2;female;8;1;1
379;Collyer, Mr. Harvey;2;male;31;0;0
380;Collyer, Mrs. Harvey (Charlotte Annie Tate);2;female;31;1;1
381;Cook, Mrs. (Selena Rogers);2;female;22;1;1
382;Corbett, Mrs. Walter H (Irene Colvin);2;female;30;0;1
383;Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller);2;female;;0;1
384;"Cotterill, Mr. Henry ""Harry""";2;male;21;0;0
385;Cunningham, Mr. Alfred Fleming;2;male;;0;0
386;Davies, Master. John Morgan Jr;2;male;8;1;0
387;Davies, Mr. Charles Henry;2;male;18;0;0
388;Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ;2;female;48;1;1
389;Davis, Miss. Mary;2;female;28;1;1
390;de Brito, Mr. Jose Joaquim;2;male;32;0;0
391;Deacon, Mr. Percy William;2;male;17;0;0
392;del Carlo, Mr. Sebastiano;2;male;29;0;0
393;del Carlo, Mrs. Sebastiano (Argenia Genovesi);2;female;24;1;1
394;Denbury, Mr. Herbert;2;male;25;0;0
395;Dibden, Mr. William;2;male;18;0;0
396;Doling, Miss. Elsie;2;female;18;1;1
397;Doling, Mrs. John T (Ada Julia Bone);2;female;34;1;1
398;Downton, Mr. William James;2;male;54;0;0
399;Drew, Master. Marshall Brines;2;male;8;1;0
400;Drew, Mr. James Vivian;2;male;42;0;0
401;Drew, Mrs. James Vivian (Lulu Thorne Christian);2;female;34;1;1
402;Duran y More, Miss. Asuncion;2;female;27;1;1
403;Duran y More, Miss. Florentina;2;female;30;1;1
404;Eitemiller, Mr. George Floyd;2;male;23;0;0
405;Enander, Mr. Ingvar;2;male;21;0;0
406;Fahlstrom, Mr. Arne Jonas;2;male;18;0;0
407;Faunthorpe, Mr. Harry;2;male;40;0;0
408;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);2;female;29;1;1
409;Fillbrook, Mr. Joseph Charles;2;male;18;0;0
410;Fox, Mr. Stanley Hubert;2;male;36;0;0
411;"Frost, Mr. Anthony Wood ""Archie""";2;male;;0;0
412;Funk, Miss. Annie Clemmer;2;female;38;0;1
413;Fynney, Mr. Joseph J;2;male;35;0;0
414;Gale, Mr. Harry;2;male;38;0;0
415;Gale, Mr. Shadrach;2;male;34;0;0
416;Garside, Miss. Ethel;2;female;34;1;1
417;Gaskell, Mr. Alfred;2;male;16;0;0
418;Gavey, Mr. Lawrence;2;male;26;0;0
419;Gilbert, Mr. William;2;male;47;0;0
420;Giles, Mr. Edgar;2;male;21;0;0
421;Giles, Mr. Frederick Edward;2;male;21;0;0
422;Giles, Mr. Ralph;2;male;24;0;0
423;Gill, Mr. John William;2;male;24;0;0
424;Gillespie, Mr. William Henry;2;male;34;0;0
425;Givard, Mr. Hans Kristensen;2;male;30;0;0
426;Greenberg, Mr. Samuel;2;male;52;0;0
427;Hale, Mr. Reginald;2;male;30;0;0
428;Hamalainen, Master. Viljo;2;male;0.6667;1;0
429;Hamalainen, Mrs. William (Anna);2;female;24;1;1
430;Harbeck, Mr. William H;2;male;44;0;0
431;"Harper, Miss. Annie Jessie ""Nina""";2;female;6;1;1
432;Harper, Rev. John;2;male;28;0;0
433;Harris, Mr. George;2;male;62;1;0
434;Harris, Mr. Walter;2;male;30;0;0
435;Hart, Miss. Eva Miriam;2;female;7;1;1
436;Hart, Mr. Benjamin;2;male;43;0;0
437;Hart, Mrs. Benjamin (Esther Ada Bloomfield);2;female;45;1;1
438;Herman, Miss. Alice;2;female;24;1;1
439;Herman, Miss. Kate;2;female;24;1;1
440;Herman, Mr. Samuel;2;male;49;0;0
441;Herman, Mrs. Samuel (Jane Laver);2;female;48;1;1
442;Hewlett, Mrs. (Mary D Kingcome) ;2;female;55;1;1
443;Hickman, Mr. Leonard Mark;2;male;24;0;0
444;Hickman, Mr. Lewis;2;male;32;0;0
445;Hickman, Mr. Stanley George;2;male;21;0;0
446;Hiltunen, Miss. Marta;2;female;18;0;1
447;"Hocking, Miss. Ellen ""Nellie""";2;female;20;1;1
448;Hocking, Mr. Richard George;2;male;23;0;0
449;Hocking, Mr. Samuel James Metcalfe;2;male;36;0;0
450;Hocking, Mrs. Elizabeth (Eliza Needs);2;female;54;1;1
451;Hodges, Mr. Henry Price;2;male;50;0;0
452;Hold, Mr. Stephen;2;male;44;0;0
453;Hold, Mrs. Stephen (Annie Margaret Hill);2;female;29;1;1
454;Hood, Mr. Ambrose Jr;2;male;21;0;0
